time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
902.89949321,0.00385367,0.00133955,0.00000163,5529.00000000,0.00559935,0.000000,0.000000
902.99934177,0.00388881,0.00155962,0.00000353,5365.00000000,0.01214572,0.000000,0.000000
903.09998639,0.00389406,0.00101743,0.00000157,5566.00000000,0.00513465,0.000000,0.000000
903.19981973,0.00390176,0.00110804,0.00000172,5715.00000000,0.00572533,0.000000,0.000000
903.29965814,0.00390982,0.00102811,0.00000170,5759.00000000,0.00582924,0.000000,0.000000
903.39949698,0.00393766,0.00122374,0.00000440,5812.00000000,0.01059026,0.000000,0.000000
903.49934284,0.00394106,0.00113547,0.00000170,5919.00000000,0.00475780,0.000000,0.000000
903.59997810,0.00395006,0.00114750,0.00000179,5955.00000000,0.00611792,0.000000,0.000000
903.69981846,0.00395340,0.00099001,0.00000169,6028.00000000,0.00476235,0.000000,0.000000
903.79965032,0.00395590,0.00077721,0.00000166,5937.00000000,0.00456243,0.000000,0.000000
903.89949114,0.00396561,0.00130159,0.00000175,5997.00000000,0.00633656,0.000000,0.000000
903.99933344,0.00398412,0.00168884,0.00000149,6025.00000000,0.00851852,0.000000,0.000000
904.09997218,0.00400497,0.00187904,0.00000311,6022.00000000,0.00913408,0.000000,0.000000
904.19981734,0.00401682,0.00144039,0.00000202,6084.00000000,0.00694429,0.000000,0.000000
904.29965971,0.00402616,0.00125333,0.00000185,6076.00000000,0.00634256,0.000000,0.000000
904.39950485,0.00403390,0.00077700,0.00000195,6139.00000000,0.00596085,0.000000,0.000000
904.49935219,0.00404605,0.00144015,0.00000175,6183.00000000,0.00708229,0.000000,0.000000
904.59999849,0.00408040,0.00161181,0.00000230,6203.00000000,0.01270240,0.000000,0.000000
904.69980977,0.00409502,0.00151188,0.00000147,6275.00000000,0.00778040,0.000000,0.000000
904.79964881,0.00411779,0.00157229,0.00000171,6330.00000000,0.00987777,0.000000,0.000000
904.89947513,0.00411874,0.00077088,0.00000164,6332.00000000,0.00436036,0.000000,0.000000
904.99931633,0.00412306,0.00082359,0.00000179,6335.00000000,0.00522402,0.000000,0.000000
905.09995895,0.00412355,0.00076557,0.00000160,6294.00000000,0.00424993,0.000000,0.000000
905.19979723,0.00413468,0.00071567,0.00000256,6325.00000000,0.00699429,0.000000,0.000000
905.29964318,0.00416373,0.00176576,0.00000220,6334.00000000,0.01165828,0.000000,0.000000
905.39948918,0.00417220,0.00079231,0.00000251,6333.00000000,0.00636714,0.000000,0.000000
905.49932828,0.00419412,0.00128504,0.00000380,6342.00000000,0.00989285,0.000000,0.000000
905.59995658,0.00419780,0.00065940,0.00000185,6371.00000000,0.00515912,0.000000,0.000000
905.69979540,0.00420129,0.00071683,0.00000198,6388.00000000,0.00511574,0.000000,0.000000
905.79962532,0.00420664,0.00072355,0.00000195,6421.00000000,0.00561406,0.000000,0.000000
905.89946388,0.00420801,0.00085193,0.00000191,6426.00000000,0.00456734,0.000000,0.000000
905.99930574,0.00422210,0.00142698,0.00000159,6446.00000000,0.00795730,0.000000,0.000000
906.09994230,0.00422142,0.00069114,0.00000158,6454.00000000,0.00404026,0.000000,0.000000
906.19976358,0.00422384,0.00066300,0.00000178,6462.00000000,0.00486926,0.000000,0.000000
906.29961121,0.00422982,0.00116863,0.00000190,6481.00000000,0.00583225,0.000000,0.000000
906.39945827,0.00423611,0.00113281,0.00000187,6478.00000000,0.00592984,0.000000,0.000000
906.49930477,0.00423462,0.00064881,0.00000160,6509.00000000,0.00383193,0.000000,0.000000
906.59995301,0.00424785,0.00148510,0.00000143,6085.00000000,0.00783180,0.000000,0.000000
906.69979259,0.00425405,0.00102662,0.00000177,6187.00000000,0.00594076,0.000000,0.000000
906.79963841,0.00425223,0.00066700,0.00000154,6235.00000000,0.00375490,0.000000,0.000000
906.89948897,0.00426880,0.00220467,0.00000282,6278.00000000,0.00881018,0.000000,0.000000
906.99932093,0.00427175,0.00069994,0.00000189,6315.00000000,0.00508274,0.000000,0.000000
907.09997001,0.00427128,0.00068745,0.00000177,6360.00000000,0.00414059,0.000000,0.000000
907.19980275,0.00428448,0.00084663,0.00000230,6363.00000000,0.00794171,0.000000,0.000000
907.29965789,0.00431833,0.00151889,0.00000271,6375.00000000,0.01372828,0.000000,0.000000
907.39950361,0.00432274,0.00067506,0.00000215,6412.00000000,0.00555494,0.000000,0.000000
907.49934547,0.00432638,0.00080719,0.00000213,6442.00000000,0.00534413,0.000000,0.000000
907.59998597,0.00434610,0.00166202,0.00000180,6479.00000000,0.00988707,0.000000,0.000000
907.69983175,0.00435143,0.00154804,0.00000199,6492.00000000,0.00585624,0.000000,0.000000
907.79969113,0.00438235,0.00243829,0.00000192,6511.00000000,0.01313169,0.000000,0.000000
907.89952517,0.00438495,0.00066037,0.00000223,6560.00000000,0.00512363,0.000000,0.000000
907.99936657,0.00439121,0.00118740,0.00000215,6590.00000000,0.00617422,0.000000,0.000000
908.09961527,0.00440685,0.00169479,0.00000254,6617.00000000,0.00888173,0.000000,0.000000
908.19946995,0.00440578,0.00069594,0.00000178,6614.00000000,0.00409889,0.000000,0.000000
908.29929580,0.00448763,0.00470922,0.00001149,6625.00000000,0.02805979,0.000000,0.000000
908.39993430,0.00448858,0.00064286,0.00000195,6631.00000000,0.00476272,0.000000,0.000000
908.49979928,0.00449159,0.00103334,0.00000188,6648.00000000,0.00536458,0.000000,0.000000
908.59962590,0.00451307,0.00154388,0.00000180,6657.00000000,0.01076420,0.000000,0.000000
908.69945516,0.00451335,0.00070863,0.00000189,6717.00000000,0.00459554,0.000000,0.000000
908.79929708,0.00451487,0.00076260,0.00000216,6704.00000000,0.00496020,0.000000,0.000000
908.89993460,0.00452106,0.00081294,0.00000266,6746.00000000,0.00633910,0.000000,0.000000
908.99977308,0.00451806,0.00062345,0.00000169,6760.00000000,0.00363412,0.000000,0.000000
909.09961008,0.00451870,0.00060530,0.00000201,6788.00000000,0.00470874,0.000000,0.000000
909.19945792,0.00452114,0.00060441,0.00000261,6804.00000000,0.00524491,0.000000,0.000000
909.29929359,0.00452609,0.00100055,0.00000221,6801.00000000,0.00599999,0.000000,0.000000
909.39993749,0.00454081,0.00117780,0.00000521,6820.00000000,0.00894297,0.000000,0.000000
909.49976373,0.00454798,0.00115801,0.00000268,6848.00000000,0.00669834,0.000000,0.000000
909.59960853,0.00456633,0.00203328,0.00000353,6830.00000000,0.01009120,0.000000,0.000000
909.69944813,0.00456722,0.00090704,0.00000197,6817.00000000,0.00483573,0.000000,0.000000
909.79928031,0.00456872,0.00069761,0.00000214,6831.00000000,0.00502394,0.000000,0.000000
909.89992795,0.00457121,0.00080922,0.00000208,6837.00000000,0.00532695,0.000000,0.000000
909.99977023,0.00457238,0.00065646,0.00000211,6814.00000000,0.00493081,0.000000,0.000000
910.09961373,0.00463448,0.00162715,0.00000428,6846.00000000,0.02363489,0.000000,0.000000
910.19946881,0.00465853,0.00287190,0.00000515,6915.00000000,0.01204156,0.000000,0.000000
910.29930727,0.00466156,0.00116423,0.00000210,6932.00000000,0.00559549,0.000000,0.000000
910.39994485,0.00466953,0.00174180,0.00000276,6949.00000000,0.00713157,0.000000,0.000000
910.49978027,0.00467289,0.00107892,0.00000208,6957.00000000,0.00571610,0.000000,0.000000
910.59961967,0.00468647,0.00186848,0.00000346,6980.00000000,0.00890895,0.000000,0.000000
910.69945645,0.00469106,0.00072837,0.00000190,6990.00000000,0.00612294,0.000000,0.000000
910.79931139,0.00469231,0.00075728,0.00000226,7017.00000000,0.00508284,0.000000,0.000000
910.89995465,0.00471131,0.00065576,0.00000435,7027.00000000,0.01067765,0.000000,0.000000
910.99979279,0.00471357,0.00068300,0.00000224,7048.00000000,0.00542557,0.000000,0.000000
911.09962619,0.00471539,0.00102344,0.00000197,7070.00000000,0.00529082,0.000000,0.000000
911.19947477,0.00471705,0.00079201,0.00000218,7102.00000000,0.00524234,0.000000,0.000000
911.29932273,0.00471690,0.00060231,0.00000227,7128.00000000,0.00467192,0.000000,0.000000
911.39996885,0.00473537,0.00166520,0.00000551,7130.00000000,0.01062628,0.000000,0.000000
911.49981549,0.00473255,0.00054171,0.00000185,7115.00000000,0.00382958,0.000000,0.000000
911.59966605,0.00472837,0.00053725,0.00000172,7091.00000000,0.00338590,0.000000,0.000000
911.69949791,0.00472419,0.00055834,0.00000172,7109.00000000,0.00337848,0.000000,0.000000
911.79934469,0.00472553,0.00093893,0.00000203,7111.00000000,0.00515961,0.000000,0.000000
911.89998633,0.00472335,0.00057678,0.00000189,7132.00000000,0.00401633,0.000000,0.000000
911.99983327,0.00472446,0.00059097,0.00000263,7132.00000000,0.00508622,0.000000,0.000000
912.09966825,0.00473401,0.00079661,0.00000429,7173.00000000,0.00784809,0.000000,0.000000
912.19949561,0.00473157,0.00075799,0.00000183,7187.00000000,0.00393090,0.000000,0.000000
912.29935161,0.00472670,0.00048436,0.00000168,7127.00000000,0.00312969,0.000000,0.000000
912.39999873,0.00472237,0.00052328,0.00000169,7157.00000000,0.00329894,0.000000,0.000000
912.49984037,0.00472695,0.00199694,0.00000231,7187.00000000,0.00623908,0.000000,0.000000
912.59969175,0.00472570,0.00055884,0.00000231,7216.00000000,0.00431195,0.000000,0.000000
912.69952635,0.00472507,0.00058497,0.00000292,7224.00000000,0.00451484,0.000000,0.000000
912.79935407,0.00472712,0.00053782,0.00000205,7249.00000000,0.00541047,0.000000,0.000000
912.89999459,0.00472463,0.00055918,0.00000207,7299.00000000,0.00389134,0.000000,0.000000
912.99985051,0.00472155,0.00050524,0.00000228,7288.00000000,0.00369100,0.000000,0.000000
913.09970353,0.00471635,0.00047362,0.00000193,7296.00000000,0.00296927,0.000000,0.000000
913.19954455,0.00470877,0.00033736,0.00000188,7311.00000000,0.00215531,0.000000,0.000000
913.29938033,0.00470173,0.00030176,0.00000186,7314.00000000,0.00232037,0.000000,0.000000
913.39961577,0.00469856,0.00082410,0.00000147,7330.00000000,0.00362576,0.000000,0.000000
913.49944501,0.00468879,0.00024844,0.00000150,6995.00000000,0.00136684,0.000000,0.000000
913.59930151,0.00468225,0.00046067,0.00000227,7004.00000000,0.00244929,0.000000,0.000000
913.69994555,0.00467178,0.00019792,0.00000150,7014.00000000,0.00109195,0.000000,0.000000
913.79976993,0.00466213,0.00026386,0.00000178,7028.00000000,0.00135405,0.000000,0.000000
